Employee_ID,First_Name,Last_Name,Department,Job_Title,Manager_ID,Location,Country,Employment_Type,Hire_Date,Termination_Date,Status,Base_Salary
93810,Rodney,Murphy,Operations,Analyst,50888.0,New York,USA,Contract,2019-12-24,2022-05-01,Active,59288
24592,Jason,Lin,IT,Associate,,New York,USA,Contract,2022-10-15,,Terminated,134186
13278,Amber,Rasmussen,Marketing,Director,,Wilmington,USA,PT,2020-08-04,,Terminated,51540
46048,Jessica,Ramirez,IT,Analyst,59192.0,New York,USA,PT,2016-03-21,2023-08-17,Active,142768
42098,James,May,Operations,Analyst,61990.0,Chicago,USA,FT,2018-10-10,2021-04-05,Active,126958
39256,Larry,Ross,HR,Manager,35995.0,Plano,USA,PT,2018-09-20,,Terminated,113878
28289,Wanda,Zavala,Operations,Coordinator,19961.0,Wilmington,USA,PT,2024-06-28,,Active,86846
23434,Debra,Herrera,Marketing,Manager,87607.0,New York,USA,Contract,2016-08-09,,Active,146148
98696,Samuel,Crosby,IT,Associate,92213.0,Chicago,USA,PT,2018-03-24,,Terminated,120932
81482,Zachary,Wilson,IT,Director,41830.0,Chicago,USA,FT,2018-07-16,,Active,62482
21395,David,Waller,Marketing,Manager,23356.0,New York,USA,PT,2023-10-22,,Active,68411
87397,Jeffrey,White,Marketing,Analyst,49529.0,Plano,USA,Contract,2021-10-16,,Active,95975
65302,Matthew,Estes,HR,Director,99687.0,New York,USA,Contract,2023-12-07,,Terminated,105545
14165,Brianna,Baker,Finance,Director,88697.0,Wilmington,USA,PT,2017-11-14,,Terminated,123797
13905,Jerry,Rodriguez,IT,Analyst,25866.0,New York,USA,Contract,2017-01-15,,Terminated,97307
22280,Jeffrey,Hamilton,HR,Manager,84177.0,Chicago,USA,FT,2018-02-21,2025-08-14,Active,48093
38657,Chad,Chandler,Marketing,Analyst,,New York,USA,FT,2017-05-20,,Terminated,122258
40495,Crystal,Edwards,Finance,Coordinator,,Plano,USA,PT,2018-07-20,,Active,67042
76237,Jeremy,Obrien,HR,Director,,Columbus,USA,PT,2017-04-25,,Active,97930
88907,Rebecca,Dixon,IT,Engineer,,New York,USA,PT,2016-06-27,,Active,89413
13478,Michele,Cruz,HR,Engineer,96706.0,Plano,USA,Contract,2023-10-27,,Active,138623
83563,Chad,Ray,Finance,Associate,58571.0,Plano,USA,FT,2021-11-04,,Active,142883
36062,John,Scott,Sales,Analyst,19038.0,Chicago,USA,FT,2024-02-19,,Active,78756
95181,Elizabeth,Fletcher,HR,Analyst,,Plano,USA,Contract,2025-02-08,,Active,98268
81426,Jason,Smith,HR,Associate,94874.0,Plano,USA,FT,2020-04-14,,Active,84214
64987,David,Frost,Operations,Associate,54725.0,Plano,USA,PT,2020-07-31,,Active,126871
38893,Selena,Ryan,IT,Associate,,Plano,USA,PT,2018-12-07,2025-10-31,Active,73602
68878,Ashley,Ball,Sales,Director,65057.0,Wilmington,USA,PT,2019-12-02,,Active,98331
87236,Thomas,Harmon,HR,Coordinator,74251.0,Wilmington,USA,FT,2018-08-13,,Active,93901
46463,Kristen,Lambert,IT,Analyst,23833.0,Chicago,USA,PT,2021-04-17,,Active,144986
10851,Lindsey,Diaz,HR,Director,66822.0,New York,USA,Contract,2020-04-09,,Active,108416
30926,James,Jones,Operations,Associate,,Plano,USA,Contract,2021-11-15,,Active,77196
65392,Collin,Beck,IT,Analyst,93307.0,New York,USA,FT,2024-10-15,,Active,50626
54597,Ryan,Rivera,Sales,Director,70258.0,New York,USA,Contract,2023-03-29,,Active,52424
46421,Rodney,Edwards,HR,Coordinator,30052.0,Chicago,USA,Contract,2021-12-06,,Terminated,57857
30379,Stuart,Charles,HR,Director,67080.0,Plano,USA,FT,2016-02-25,,Active,64982
38221,Jessica,Cortez,IT,Coordinator,33086.0,Plano,USA,PT,2018-03-08,,Active,121961
54118,Emily,Evans,Sales,Associate,,Columbus,USA,PT,2022-08-21,2025-09-14,Active,46980
23396,Tracey,Parker,HR,Coordinator,,New York,USA,PT,2024-07-01,,Terminated,93290
22156,Corey,Ortiz,Sales,Analyst,45400.0,New York,USA,FT,2021-10-06,,Active,71431
59797,Richard,Powell,IT,Associate,,Wilmington,USA,Contract,2016-02-06,,Terminated,129976
22676,Matthew,Phillips,HR,Analyst,80539.0,Columbus,USA,PT,2023-07-17,,Active,127711
57052,Michelle,Martinez,IT,Engineer,73372.0,Wilmington,USA,PT,2024-02-09,,Terminated,71385
55082,John,Fisher,Operations,Manager,70931.0,Wilmington,USA,FT,2021-08-28,2024-05-06,Active,83158
89131,James,Bentley,Marketing,Coordinator,67091.0,Wilmington,USA,PT,2023-07-11,,Terminated,68019
44671,Shane,Byrd,HR,Manager,87656.0,Chicago,USA,FT,2017-08-23,,Active,63639
15695,Robert,Orr,HR,Manager,45179.0,Chicago,USA,Contract,2021-01-30,,Active,130530
70217,Joshua,Gilbert,IT,Coordinator,52245.0,Wilmington,USA,FT,2020-04-25,,Active,144911
80284,John,Turner,HR,Associate,42177.0,Columbus,USA,FT,2018-09-04,,Active,66563
26361,Sandra,Kelley,Marketing,Engineer,21359.0,New York,USA,FT,2025-11-11,,Active,84341
59615,Scott,Smith,IT,Analyst,46559.0,Columbus,USA,FT,2020-04-02,,Terminated,50776
20328,Michelle,Mitchell,HR,Director,69087.0,Plano,USA,Contract,2024-01-14,,Terminated,81444
82357,Andrea,Jordan,Finance,Analyst,,Chicago,USA,Contract,2025-08-01,,Active,113916
48427,Brent,Carpenter,Finance,Director,,New York,USA,PT,2020-08-04,,Active,53711
92397,Yvette,Pena,IT,Analyst,,New York,USA,Contract,2019-12-23,,Active,119318
91070,Mary,Marshall,Finance,Coordinator,,Plano,USA,Contract,2019-02-07,,Active,127970
57400,Tanya,Ramos,HR,Engineer,,Plano,USA,PT,2016-12-09,,Active,130553
85674,Sara,Lewis,HR,Director,59674.0,Wilmington,USA,Contract,2017-07-02,,Active,75707
35203,Melinda,Kennedy,IT,Associate,,Chicago,USA,FT,2020-01-04,2023-03-06,Active,84110
19116,Gabriel,Santana,Marketing,Analyst,13761.0,Chicago,USA,FT,2020-11-05,2022-05-27,Active,106788
16006,Todd,Flynn,Operations,Analyst,74789.0,Columbus,USA,PT,2022-07-09,,Active,127879
96673,Jason,Jackson,Sales,Director,,Wilmington,USA,PT,2019-11-24,,Active,83827
39871,Richard,Miller,Marketing,Associate,33834.0,Wilmington,USA,PT,2023-07-02,,Active,50655
